DateTime,Entries,UniqueIPs
1506552489,5162,5162
1506552965,5163,5163
1506553447,5156,5156
1506553925,5155,5155
1506554411,5154,5154
1506554886,5154,5154
1506555364,5157,5157
1506555850,5152,5152
1506556330,5155,5155
1506556825,5155,5155
1506557286,5151,5151
1506557767,5156,5156
1506558247,5149,5149
1506558730,5156,5156
1506559204,5150,5150
1506559690,5156,5156
1506560169,5151,5151
1506560648,5157,5157
1506561124,5144,5144
1506561610,5146,5146
1506562088,5148,5148
1506562571,5147,5147
1506563050,5146,5146
1506563525,5142,5142
1506564018,5140,5140
1506564488,5141,5141
1506564966,5150,5150
1506565689,5145,5145
1506566164,5148,5148
1506566647,5145,5145
1506567124,5157,5157
1506567610,5147,5147
1506568088,5151,5151
1506568565,5145,5145
1506569045,5152,5152
1506569524,5147,5147
1506570008,5149,5149
1506570490,5145,5145
1506570965,5151,5151
1506571447,5145,5145
1506571928,5149,5149
1506572410,5148,5148
1506572891,5149,5149
1506573364,5145,5145
1506573854,5150,5150
1506574325,5149,5149
1506574821,5150,5150
1506575528,5150,5150
1506576244,5145,5145
1506576728,5150,5150
1506577205,5148,5148
1506577692,5146,5146
1506578165,5166,5166
1506578646,5162,5162
1506579125,5156,5156
1506579606,5153,5153
1506580086,5151,5151
1506580564,5157,5157
1506581044,5155,5155
1506581532,5154,5154
1506582018,5157,5157
1506582487,5158,5158
1506582964,5156,5156
1506583452,5158,5158
1506583931,5157,5157
1506584404,5157,5157
1506584885,5163,5163
1506585367,5156,5156
1506585847,5155,5155
1506586324,5155,5155
1506586810,5152,5152
1506587287,5157,5157
1506587764,5151,5151
1506588248,5157,5157
1506588725,5152,5152
1506589227,5151,5151
1506589689,5157,5157
1506590170,5150,5150
1506590646,5156,5156
1506591127,5156,5156
1506591850,5150,5150
1506593291,5151,5151
1506594007,5157,5157
1506594488,5154,5154
1506594968,5162,5162
1506595445,5156,5156
1506595929,5157,5157
1506596413,5154,5154
1506596885,5152,5152
1506597372,5154,5154
1506597849,5155,5155
1506598325,5159,5159
1506598808,5152,5152
1506599288,5157,5157
1506599765,5152,5152
1506600246,5163,5163
1506600725,5153,5153
1506601230,5153,5153
1506601684,5155,5155
1506602164,5154,5154
1506602650,5152,5152
1506603128,5156,5156
1506603614,5152,5152
1506604086,5156,5156
1506604569,5154,5154
1506605046,5152,5152
1506605527,5167,5167
1506606006,5154,5154
1506606491,5157,5157
1506606967,5158,5158
1506607446,5162,5162
1506607926,5167,5167
1506608405,5164,5164
1506608887,5161,5161
1506609366,5167,5167
1506609844,5162,5162
1506610326,5156,5156
1506610824,5150,5150
1506611286,5155,5155
1506611766,5160,5160
1506612244,5157,5157
1506612733,5152,5152
1506613205,5156,5156
1506613689,5162,5162
1506614166,5152,5152
1506614653,5153,5153
1506615124,5155,5155
1506615607,5151,5151
1506616085,5148,5148
1506616573,5153,5153
1506617047,5151,5151
1506617529,5157,5157
1506618013,5155,5155
1506618488,5158,5158
1506619447,5157,5157
1506619926,5157,5157
1506620408,5152,5152
1506620889,5166,5166
1506621365,5152,5152
1506621848,5155,5155
1506622332,5157,5157
1506622805,5152,5152
1506623285,5157,5157
1506623765,5152,5152
1506624253,5151,5151
1506624724,5156,5156
1506625212,5157,5157
1506625688,5153,5153
1506626173,5158,5158
1506626644,5154,5154
1506627124,5156,5156
1506627605,5158,5158
1506628088,5154,5154
1506628564,5158,5158
1506629046,5155,5155
1506629530,5155,5155
1506630007,5150,5150
1506630486,5156,5156
1506630964,5153,5153
1506631451,5157,5157
1506631926,5155,5155
1506632417,5149,5149
1506632887,5156,5156
1506633373,5148,5148
1506633850,5155,5155
1506634325,5156,5156
