DateTime,AddedIPs,RemovedIPs
1506492486,9,9
1506493932,0,1
1506494406,1,0
1506495365,8,12
1506495854,3,0
1506496810,9,9
1506497284,1,1
1506497766,1,3
1506498246,3,1
1506498726,11,11
1506499220,1,5
1506499688,2,3
1506500165,10,11
1506500645,2,0
1506501128,0,2
1506501608,1,0
1506502092,9,10
1506502565,0,1
1506503051,1,0
1506504006,10,12
1506504485,2,1
1506504964,1,0
1506505926,9,10
1506507849,10,9
1506508329,0,2
1506509767,10,13
1506510252,3,2
1506510729,2,1
1506511209,10,10
1506511689,1,0
1506512169,0,1
1506513861,10,11
1506514329,2,0
1506514818,12,10
1506515767,0,1
1506516250,1,0
1506516724,15,10
1506517212,0,1
1506517690,1,0
1506518644,10,10
1506519613,0,1
1506520085,1,1
1506520569,11,10
1506521050,0,2
1506521533,2,1
1506522005,1,0
1506522964,8,8
1506523452,0,2
1506523925,2,1
1506524412,1,0
1506524886,10,11
1506525372,1,0
1506526326,11,1
1506526806,1,11
1506528486,9,10
1506529448,6,0
1506530406,10,10
1506530890,0,1
1506531367,1,0
1506532808,10,11
1506533293,1,2
1506534248,0,1
1506534728,11,12
1506535220,2,1
1506536167,0,1
1506536650,1,0
1506537127,0,1
1506537609,9,10
1506538085,1,2
1506539048,10,0
1506539530,0,9
1506540968,9,9
1506541450,1,1
1506541924,0,1
1506542890,11,14
1506543372,2,0
1506544325,0,3
1506544815,11,9
1506545286,1,0
1506545767,1,0
1506546246,9,10
1506546727,0,1
1506547210,1,0
1506548164,10,9
1506548648,8,1
1506549130,1,0
1506550086,10,18
1506550570,0,1
1506551048,1,0
1506551525,0,1
1506552006,18,10
1506552489,2,1
1506552965,1,0
1506553447,9,17
1506553925,0,1
1506555364,9,9
1506555850,0,1
1506556330,1,0
1506556825,0,1
1506557286,8,7
1506559204,9,9
1506559690,0,2
1506561124,9,11
1506562088,2,0
1506563050,0,1
1506563525,10,10
1506564018,1,0
1506564966,0,1
1506565689,10,12
1506566164,1,1
1506566647,1,0
1506567124,10,2
1506567610,2,8
1506569045,8,8
1506570008,0,1
1506570490,1,1
1506570965,10,9
1506571447,0,1
1506571928,1,1
1506572410,9,11
1506572891,1,3
1506573364,3,0
1506573854,0,2
1506574325,11,9
1506576244,9,10
1506576728,0,1
1506577205,1,0
1506578165,16,0
1506579125,10,17
1506581532,9,12
1506582018,2,0
1506582964,0,2
1506583452,11,10
1506583931,0,1
1506584404,1,2
1506584885,9,3
1506585367,3,10
1506585847,2,1
1506586324,1,1
1506586810,1,0
1506587764,10,12
1506588248,2,1
1506588725,1,0
1506589689,10,10
1506590170,0,1
1506590646,1,1
1506591850,11,11
1506593291,11,12
1506594968,10,4
1506595445,4,11
1506595929,0,1
1506596413,3,1
1506596885,11,11
1506598808,10,11
1506599288,1,1
1506599765,1,0
1506600246,7,2
1506600725,5,10
1506601230,0,2
1506601684,2,0
1506602164,8,10
1506602650,0,1
1506603128,2,2
1506603614,2,1
1506604086,10,9
1506605046,0,1
1506605527,11,2
1506606006,2,12
1506606491,2,0
1506607446,8,0
1506607926,12,10
1506609366,0,1
1506609844,1,0
1506610326,11,21
1506610824,1,1
1506611286,1,0
1506611766,10,1
1506612244,1,12
1506612733,0,1
1506613205,1,0
1506613689,10,1
1506614166,1,10
1506614653,0,1
1506615124,1,0
1506615607,8,10
1506616085,0,1
1506616573,1,0
1506617529,10,10
1506618013,2,1
1506618488,2,0
1506619447,9,9
1506620408,0,1
1506620889,11,1
1506621365,1,11
1506622805,10,12
1506623285,1,0
1506624253,0,1
1506624724,11,10
1506626644,10,11
1506627124,1,1
1506627605,1,1
1506628088,0,2
1506628564,12,10
1506630007,10,11
1506630486,1,0
1506630964,0,1
1506631451,1,0
1506631926,8,9
1506632417,0,1
1506632887,2,0
1506633373,0,1
1506633850,11,10
1506634325,1,1
1506634808,0,1
1506635285,10,9
1506635770,0,1
1506636249,1,0
1506636727,0,1
1506637210,12,10
1506637689,0,1
1506638168,1,0
1506638650,0,3
1506640334,11,9
1506640805,8,8
1506641290,0,1
1506641764,1,1
1506642247,1,1
1506642965,12,11
1506643446,1,1
1506643925,1,2
1506644415,1,2
1506644898,9,8
1506645365,1,0
1506645849,0,1
1506646326,9,3
1506646823,3,8
1506647286,9,2
1506647765,4,11
1506648247,12,10
1506648732,2,2
1506649205,1,0
1506649687,0,1
1506650167,9,9
1506650651,1,0
1506651636,8,1
1506652092,1,8
1506653529,6,7
1506654016,2,1
1506654487,1,2
1506654966,1,1
1506655444,8,8
1506655928,1,0
1506657367,8,8
1506657850,0,2
1506658330,2,0
1506658807,0,1
1506659286,11,12
1506660728,6,2
1506661211,5,9
1506661692,0,2
1506662170,1,0
1506662644,10,11
1506663130,2,1
1506663847,16,1
1506664331,11,19
1506664815,10,0
1506665286,0,1
1506665772,1,0
1506666245,9,18
1506667205,0,1
1506667687,1,0
1506668648,0,1
1506669125,20,12
1506669612,1,2
1506670086,2,0
1506670566,0,1
1506671050,1,1
1506671527,11,10
1506672051,12,14
1506672486,1,0
1506672969,0,3
1506673448,2,0
1506674405,10,20
1506674889,0,1
1506675367,1,0
1506676810,10,2
1506677291,2,11
1506677766,1,0
1506678246,0,2
1506678728,2,0
1506679225,0,1
1506679690,10,11
1506680169,1,0
1506681132,9,1
1506681605,1,9
1506682566,0,1
1506683051,11,10
1506683526,0,1
1506684008,1,1
1506684487,1,0
1506684968,10,10
1506685449,0,2
1506685924,3,1
1506686893,17,12
1506687371,5,1
1506687847,9,1
1506688325,0,1
1506688811,20,19
1506689285,1,1
1506689772,1,0
1506690246,9,10
1506690728,21,19
1506691212,0,1
1506691685,1,0
1506692165,10,14
1506692647,14,10
1506693129,1,2
1506693616,1,3
1506694087,1,0
1506694572,1,10
1506695046,12,1
1506695527,1,12
1506696005,1,0
1506696491,9,3
1506696968,10,9
1506697927,0,2
1506698408,3,0
1506698888,0,1
1506699365,11,10
1506699849,0,10
1506700327,0,2
1506700811,1,0
1506701531,10,13
1506702008,3,1
1506702495,1,0
1506702971,8,0
1506703444,10,10
1506703928,0,2
1506704419,2,1
1506704885,1,0
1506705365,10,10
1506705844,0,12
1506706328,1,1
1506706806,1,0
1506707284,1,0
1506708729,8,10
1506709209,0,2
1506709684,1,0
1506710647,0,1
1506711128,18,10
1506711610,5,0
1506714006,11,21
1506714965,0,2
1506715447,1,0
1506715928,9,10
1506716410,0,1
1506716887,2,0
1506717364,10,2
1506717849,2,11
1506718330,1,0
1506718817,0,1
1506719286,1,1
1506719772,10,1
1506720245,11,19
1506720726,2,2
1506721205,1,2
1506721686,10,0
1506722167,10,10
1506722650,1,1
1506724088,0,1
1506724567,7,9
1506726736,13,10
1506727206,8,8
1506727690,1,12
1506728165,2,2
1506728653,1,0
1506729124,10,1
1506729614,1,11
1506731044,1,0
1506731529,10,1
1506732006,2,10
1506732487,0,1
1506732965,1,2
1506733450,1,0
1506733925,9,9
1506734414,8,3
1506734888,3,8
1506735364,0,3
1506735849,4,3
1506736330,0,1
1506736814,1,1
1506737286,10,2
1506737769,1,10
1506738249,1,0
1506738728,1,1
1506739207,1,0
1506739690,8,2
1506740166,2,8
1506740646,0,1
1506741128,1,1
1506741606,9,1
1506742334,1,11
1506742805,2,1
1506743287,11,2
1506743767,7,9
1506744726,0,2
1506745209,8,8
1506745929,2,9
1506746650,3,0
1506747124,10,0
1506747610,7,8
1506748088,1,0
1506748570,8,10
1506749045,9,17
1506749765,0,2
1506750966,20,10
1506751928,0,1
1506752410,10,10
1506752885,1,10
1506754329,19,10
1506754816,0,2
1506755286,3,0
1506756246,9,20
1506756724,1,1
1506757449,1,0
1506758164,18,10
1506758650,1,0
1506759609,9,11
1506760085,12,17
1506761046,0,1
1506761528,1,0
1506762485,10,13
1506762968,4,0
1506763448,0,1
1506763930,11,5
1506764404,3,10
1506765125,10,1
1506765852,10,11
1506766325,1,11
1506766804,2,0
1506767290,0,1
1506767764,11,10
1506769223,0,1
1506769930,10,11
1506771850,10,10
1506772324,1,1
1506773049,11,3
1506773556,11,19
1506774020,1,1
1506774485,1,0
1506774967,10,2
1506775448,2,11
1506776413,0,1
1506777133,12,12
1506777846,0,2
1506778324,2,0
1506778806,1,0
1506779769,10,10
1506780245,0,1
1506780972,3,1
1506781686,8,10
1506782164,2,2
1506782648,1,0
1506783614,20,14
1506784085,4,0
1506785288,10,20
1506785765,0,2
1506786250,2,0
1506786968,19,10
1506787450,0,2
1506787925,2,0
1506788410,9,19
1506788888,1,1
1506789368,2,0
1506789844,0,2
1506790329,8,0
1506790826,13,11
1506791287,1,0
1506792249,10,19
1506792726,0,1
1506793206,1,0
1506793686,10,6
1506794165,4,10
1506795610,10,1
1506796334,1,10
1506797287,9,4
1506797765,4,9
1506798249,0,1
1506798727,1,0
1506799222,9,0
1506799757,1,9
1506801333,18,11
1506802124,2,0
1506802898,10,20
1506803531,1,0
1506804485,8,2
1506805225,11,11
1506805689,2,0
1506806169,1,0
