DateTime,AddedIPs,RemovedIPs
1504557602,0,1
1504559402,1,0
1504560002,0,1
1504560902,1,0
1504561202,0,2
1504562402,1,0
1504563002,1,0
1504563602,0,1
1504564202,1,0
1504564802,0,1
1504565402,1,0
1504566002,0,1
1504566602,1,0
1504566902,0,1
1504567503,1,0
1504567802,0,1
1504569602,1,1
1504570802,0,1
1504572002,1,0
1504572602,0,1
1504574702,1,0
1504575303,0,1
1504575602,1,0
1504575902,0,1
1504576503,1,0
1504577103,0,1
1504579203,1,0
1504581602,0,1
1504582502,1,0
1504582802,0,1
1504583402,1,0
1504583702,0,1
1504585202,1,0
1504585503,0,1
1504587902,1,0
1504588502,0,1
1504588802,1,0
1504589102,0,1
1504589702,1,0
1504591202,0,1
1504592101,1,0
1504593302,0,1
1504593602,1,0
1504595103,0,1
1504596902,1,0
1504597202,0,1
1504598102,1,0
1504598402,0,1
1504599602,1,0
1504599902,0,1
1504600503,1,0
1504601102,0,1
1504602303,1,0
1504602902,0,1
1504603202,1,0
1504604103,0,1
1504604702,1,0
1504605003,0,1
1504606501,1,0
1504607402,1,2
1504607703,2,0
1504608002,0,1
1504609202,1,0
1504610402,0,1
1504611302,1,0
1504612202,1,0
1504613102,1,1
1504613402,1,0
1504613702,0,1
1504614601,1,0
1504615802,0,1
1504616103,1,0
1504616402,0,1
1504617002,1,0
1504618202,0,1
1504618802,1,0
1504619102,0,1
1504619702,1,0
1504620002,0,1
1504620902,1,0
1504621802,1,2
1504622402,1,0
1504624802,0,1
1504625402,2,1
1504625702,0,3
1504626002,2,0
1504626602,1,0
1504627202,0,1
1504627802,1,0
1504628102,0,1
1504629002,1,1
1504629602,1,0
1504630801,0,1
1504631402,1,0
1504632002,1,0
1504632302,0,1
1504632602,1,1
1504632902,1,0
1504633203,0,1
1504633802,1,0
1504634102,0,1
1504635903,1,0
1504636203,1,2
1504636802,1,0
1504637102,0,1
1504637702,1,0
1504638302,0,1
1504638602,1,0
1504638902,0,1
1504639502,1,0
1504640101,1,2
1504641002,1,0
1504641302,0,1
1504642202,1,0
1504642502,0,1
1504642802,1,0
1504643402,0,1
1504644002,1,0
1504645802,0,1
1504646103,1,0
1504646702,0,1
1504647302,1,0
1504647902,1,1
1504648202,1,0
1504648801,0,1
1504649402,1,0
1504649701,0,1
1504650902,1,0
1504651502,0,1
1504651801,1,0
1504652703,0,1
1504653602,1,0
1504653902,0,1
1504655103,1,0
1504656601,0,1
1504659002,0,1
1504659302,1,0
1504659602,0,1
1504660202,1,0
1504661702,0,1
1504662603,1,0
1504663202,0,1
1504663502,1,0
1504663802,0,1
1504664102,1,0
1504664702,1,0
1504665002,0,1
1504665902,1,0
1504666502,0,1
1504667402,1,0
1504667702,0,1
1504668302,1,0
1504668602,0,1
1504670101,1,0
1504670402,0,1
1504671003,1,0
1504671301,0,2
1504672202,2,0
1504672502,0,1
1504673102,1,0
1504673402,0,1
1504673702,1,0
1504674002,0,1
1504674603,1,0
1504674901,0,1
1504676102,1,0
1504677002,0,1
1504678502,1,0
1504678802,0,1
1504679102,1,0
1504679402,0,1
1504680002,1,0
1504680302,0,1
1504680903,1,0
1504682101,0,1
1504682702,1,0
1504683302,0,1
1504683602,1,0
1504683902,0,1
1504684502,1,0
1504685103,0,1
1504686002,1,0
1504686602,0,1
1504687502,1,0
1504688101,0,1
1504689002,1,0
1504689902,0,1
1504691402,1,0
1504692302,0,1
1504692602,1,0
1504692902,0,1
1504693202,1,0
1504693802,0,1
1504694102,1,0
1504694402,0,1
1504695002,1,0
1504695303,0,1
1504696502,1,0
1504697702,0,1
1504698602,1,0
1504699502,1,1
1504701902,1,0
1504703102,0,1
1504703402,1,0
1504703701,0,1
1504704903,1,0
1504705502,0,1
1504706402,1,0
1504707602,0,1
1504707902,1,0
