DateTime,AddedIPs,RemovedIPs
1495987365,18,37
1496015323,57,52
1496034125,17,29
1496061194,53,57
1496073640,19,33
1496100520,60,49
1496120404,19,25
1496146241,61,52
1496159599,14,0
1496185259,57,65
1496206397,17,18
1496229847,49,50
1496246082,17,24
1496272778,57,56
1496293164,20,17
1496318872,55,55
1496333209,15,30
1496359975,55,52
1496379709,39,32
1496406041,48,53
1496419970,16,0
1496447866,51,93
1496466374,51,21
1496492892,46,49
1496505649,14,24
1496532992,47,46
1496552875,46,25
1496579257,46,50
1496592110,10,23
1496619763,47,0
1496638897,27,77
1496665313,49,0
1496678530,16,49
1496705741,53,77
1496725538,23,24
1496752601,45,59
1496765168,22,14
1496791908,57,55
1496811870,51,25
1496838420,44,52
1496851485,12,0
1496879192,42,71
1496898027,62,0
1496924136,56,27
1496937952,32,57
1496965407,48,93
1496984753,58,21
1497010663,57,47
1497024223,21,0
1497050612,52,17
1497071124,66,65
1497097710,52,55
1497110345,25,0
1497137869,50,10
1497157872,47,82
1497183893,56,68
1497196424,18,0
1497223865,48,19
1497244094,48,44
1497270796,51,67
1497283575,25,21
1497310610,51,44
1497330579,68,37
1497356790,55,0
1497369561,26,55
1497396889,48,115
1497416804,58,20
1497443553,48,49
1497456057,23,26
1497482930,51,0
1497502827,33,107
1497528263,46,55
1497542398,37,0
1497568053,48,15
1497589316,33,87
1497616629,56,68
1497628572,25,0
1497654590,45,22
1497675847,23,83
1497701703,48,19
1497714762,25,49
1497741660,50,28
1497761887,28,65
1497787593,56,22
1497801352,22,44
1497828120,46,26
1497848111,28,79
1497873549,58,0
1497887473,44,53
1497914434,58,35
1497934682,39,66
1497960569,54,43
1497973697,25,43
1497995238,53,41
1498019581,31,66
1498040033,55,41
1498060009,35,49
1498086135,41,40
1498106873,38,50
1498127619,59,37
1498145740,25,46
1498166066,54,37
1498192589,30,47
1498212516,60,44
1498232639,62,66
1498255073,67,0
1498279216,72,47
1498300190,50,29
1498318762,54,44
1498338397,66,26
1498365708,52,41
1498385552,61,27
1498405001,31,51
1498430279,54,28
1498453004,53,51
1498477775,56,47
1498491965,79,59
1498511894,93,57
1498538423,64,50
