DateTime,AddedIPs,RemovedIPs
1495987365,94,98
1496015323,110,107
1496034125,102,106
1496061194,115,109
1496073640,98,108
1496100520,120,110
1496120404,106,112
1496146241,112,106
1496159599,99,104
1496185259,111,106
1496206397,103,109
1496229847,111,107
1496246082,94,98
1496272778,110,105
1496293164,106,108
1496318872,102,100
1496333209,89,94
1496359975,113,107
1496379709,112,115
1496406041,95,93
1496419970,85,89
1496447866,96,91
1496466374,120,124
1496492892,95,91
1496505649,86,90
1496532992,92,90
1496552875,120,125
1496579257,96,91
1496592110,82,87
1496619763,93,87
1496638897,92,95
1496665313,92,88
1496678530,85,88
1496705741,91,89
1496725538,92,95
1496752601,104,102
1496765168,104,104
1496791908,117,117
1496811870,122,122
1496838420,92,91
1496851485,84,88
1496879192,97,93
1496898027,131,132
1496924136,100,98
1496937952,87,89
1496965407,96,94
1496984753,132,135
1497010663,91,88
1497024223,90,92
1497050612,99,97
1497071124,123,126
1497097710,92,92
1497110345,84,85
1497137869,96,95
1497157872,110,113
1497183893,93,90
1497196424,80,82
1497223865,94,91
1497244094,90,92
1497270796,98,96
1497283575,84,84
1497310610,93,94
1497330579,105,104
1497356790,97,97
1497369561,79,81
1497396889,99,97
1497416804,103,105
1497443553,97,95
1497456057,78,78
1497482930,101,101
1497502827,87,88
1497528263,90,90
1497542398,88,87
1497568053,97,97
1497589316,87,89
1497616629,97,97
1497628572,80,81
1497654590,99,98
1497675847,87,88
1497701703,92,92
1497714762,80,80
1497741660,95,92
1497761887,82,84
1497787593,96,94
1497801352,86,87
1497828120,92,90
1497848111,85,87
1497873549,101,102
1497887473,87,89
1497914434,104,102
1497934682,91,93
1497960569,109,108
1497973697,89,90
1497995238,107,105
1498019581,83,83
1498040033,99,104
1498060009,81,80
1498086135,94,94
1498106873,89,89
1498127619,96,95
1498145740,81,83
1498166066,96,93
1498192589,87,89
1498212516,95,93
1498232639,114,114
1498255073,120,114
1498279216,128,130
1498300190,98,97
1498318762,114,115
1498338397,111,110
1498365708,113,112
1498385552,96,97
1498405001,89,90
1498430279,98,99
1498453004,92,92
1498477775,101,101
1498491965,124,122
1498511894,138,138
1498538423,129,129
1498558637,99,100
1498577822,113,112
1498598378,132,132
1498624876,120,122
1498644297,97,96
1498664335,91,93
1498684455,112,110
1498711086,123,124
1498730529,98,97
1498750623,96,97
1498771183,104,104
1498797684,129,128
1498817471,95,94
1498837160,85,88
1498857481,95,93
1498884240,126,127
1498904770,102,100
1498923361,88,89
1498943875,98,97
1498970206,130,132
1498990715,107,106
1499009959,90,92
1499031016,98,96
1499057105,128,128
1499076876,94,93
1499095930,86,88
1499117727,96,95
1499142989,126,128
1499163390,95,92
1499182786,81,84
1499204299,93,91
1499229517,125,127
1499250129,96,93
1499269003,85,90
1499290807,93,91
1499316844,121,120
1499344333,100,98
1499357160,83,84
1499385041,104,106
1499404535,130,128
1499424775,105,106
1499443153,89,94
1499469041,102,98
1499490786,118,120
1499512162,97,94
1499530048,81,84
1499556856,109,105
1499577262,100,105
1499598146,99,95
1499616782,83,87
1499638384,117,116
1499663154,114,115
1499688267,103,100
1499703017,88,92
1499730150,98,94
1499750023,116,116
1499770846,97,95
1499789216,84,87
1499815317,111,108
1499836148,91,94
1499861694,98,95
1499876027,84,88
1499896700,127,124
1499922148,100,101
1499947384,105,103
1499961890,89,91
1499988294,109,107
1500009151,95,97
1500029281,105,105
1500048518,88,90
1500075709,117,115
1500095459,96,97
1500121406,96,96
1500135579,119,118
1500157218,138,134
1500180866,131,134
1500207257,98,99
1500220523,117,116
1500248150,135,132
1500268222,133,135
1500294721,115,117
1500308034,121,120
1500328796,137,134
1500354662,124,126
1500381112,105,104
1500394174,109,110
1500420749,133,131
1500441449,122,125
1500460859,110,109
1500480273,121,122
1500507770,137,135
1500527602,126,128
1500548298,127,125
1500566775,114,116
1500593009,119,118
1500613878,119,119
1500639391,107,108
1500652819,92,97
1500678816,98,92
1500700558,115,120
1500721232,110,106
1500739185,91,91
1500765324,104,103
1500786860,122,123
1500809171,96,95
1500826049,93,95
1500851245,102,101
1500873365,125,126
1500895026,95,92
1500912450,87,92
1500937362,92,89
1500959387,117,117
1500982990,96,95
1500998380,87,89
1501023317,108,107
1501045416,112,111
1501069258,102,103
1501085379,96,99
1501110512,97,93
1501131918,117,119
1501155043,100,99
1501171692,97,98
1501196537,103,102
1501218409,112,112
1501241885,98,98
1501257585,88,91
1501281084,114,111
1501304463,115,116
1501327497,126,124
1501344556,102,105
1501368463,104,103
1501391043,107,106
1501414141,111,110
1501430467,105,106
1501454661,110,110
1501477603,102,103
1501500726,119,116
1501517265,100,101
1501541227,109,108
1501563669,117,118
1501586490,121,122
1501603264,113,114
1501627869,109,108
1501650516,109,109
1501674225,101,101
1501689957,101,99
1501714378,125,124
1501736931,115,117
1501759890,103,104
1501776296,92,92
1501801117,107,106
1501823293,106,108
1501846371,117,115
1501862887,92,94
1501887450,133,130
1501909380,105,108
1501932576,99,97
1501948838,104,109
1501972713,136,129
1501995975,120,128
1502019409,126,120
1502035110,112,117
1502059765,133,129
1502081665,113,116
1502104917,131,128
1502121233,119,122
1502146270,134,128
1502168844,120,126
1502191867,129,123
1502207480,116,123
1502230683,134,128
1502255110,119,123
1502277754,124,120
1502294236,115,118
1502318304,128,125
1502341346,119,122
1502364688,116,114
1502380822,115,115
1502405210,129,129
1502427791,121,122
1502451035,122,121
1502467217,110,111
1502491982,110,108
1502514304,108,110
1502536689,116,114
1502553491,104,108
1502578034,128,124
1502599928,114,117
1502622241,143,140
1502639899,125,128
1502664054,135,133
1502686440,129,131
1502709514,114,112
1502725510,107,107
1502747236,121,120
1502772969,112,115
1502796014,120,118
1502812572,107,108
1502836988,130,127
1502859400,120,122
1502884022,130,128
1502899382,112,115
1502925216,117,115
1502946882,114,116
1502968499,99,97
1502986123,90,91
1503011806,103,102
1503033239,120,121
1503058634,108,106
1503072286,92,95
1503096379,115,115
1503119419,115,118
1503141565,120,115
1503158784,97,102
1503184925,116,111
1503205751,110,114
1503230375,108,104
1503245324,113,116
1503271749,115,111
1503292313,111,117
1503313938,113,107
1503331531,106,108
1503357376,98,96
1503379013,118,120
1503400373,121,119
1503418785,91,94
1503441330,110,107
1503465206,128,131
1503486045,98,96
1503503942,85,90
1503527930,108,107
1503550940,117,117
1503574614,103,100
1503591248,84,88
1503613148,97,92
1503637590,113,115
1503661608,97,96
1503677272,82,84
1503702256,108,105
1503724148,117,121
1503750912,100,96
1503763733,83,86
1503789142,110,108
1503810446,81,86
1503834388,87,84
1503850301,79,82
1503871814,115,109
1503896873,84,87
1503921329,96,95
1503936476,78,82
1503960592,104,99
1503983380,90,95
1504006837,98,97
1504023535,86,89
1504044762,104,98
1504069437,91,96
1504094779,100,97
1504109638,88,91
1504131125,99,97
1504156802,82,87
1504178623,109,99
1504196588,86,91
1504218327,99,98
1504242364,94,94
1504267661,97,94
1504282016,82,87
1504308087,107,102
1504329451,91,93
1504350918,96,95
1504368926,90,93
1504391189,108,103
1504415158,83,87
1504439283,93,91
1504455290,126,126
1504476547,138,135
1504501656,129,131
1504525655,94,95
1504541154,108,108
1504566379,125,123
1504588467,129,129
1504609163,99,98
1504627809,81,84
1504649912,90,88
1504674783,85,87
1504696029,91,91
1504714544,117,118
1504736926,127,123
1504760501,130,133
1504784738,93,90
1504800569,86,88
1504822940,100,99
1504847755,131,132
1504869490,98,97
1504887164,108,110
1504909429,114,112
1504933694,130,132
1504957588,99,98
1504973326,89,90
1504973948,7,7
1505020136,84,82
1505044749,95,95
1505060685,88,92
1505106407,95,92
1505131950,105,103
1505146357,92,93
1505168893,95,94
1505192722,132,133
1505216798,98,98
1505232819,90,91
1505254861,95,93
1505279446,94,96
1505304168,96,94
1505319335,86,89
1505341667,93,90
1505365421,85,87
1505388853,101,99
1505405666,90,93
1505427232,122,121
1505452094,131,131
1505476645,112,111
1505491664,86,88
1505515857,94,92
1505538896,127,130
1505559878,98,95
1505577944,83,87
1505602593,95,91
1505624880,128,131
1505649212,92,90
1505664531,89,89
1505689805,99,97
1505711867,130,131
1505733024,111,110
1505750561,89,91
1505775966,101,99
1505797884,127,129
1505818051,105,103
1505837058,87,89
1505860367,96,94
1505884015,123,126
1505908328,98,96
1505923865,84,88
1505945511,102,99
1505970345,96,99
