DateTime,AddedIPs,RemovedIPs
1506543122,78,78
1506543722,77,77
1506544322,78,78
1506544921,80,80
1506546122,73,73
1506546722,77,77
1506547322,79,79
1506547922,80,80
1506548521,80,80
1506549122,80,80
1506549721,70,70
1506550322,73,73
1506550921,80,80
1506552122,78,78
1506552722,41,41
1506553322,18,18
1506553922,45,45
1506554522,80,80
1506555721,71,71
1506556922,61,61
1506557522,79,79
1506558123,78,78
1506559321,75,75
1506560523,64,64
1506561121,59,59
1506561721,80,80
1506562322,80,80
1506562922,80,80
1506563521,80,80
1506564122,71,71
1506565322,42,42
1506566521,68,68
1506567722,70,70
1506568321,80,80
1506568922,80,80
1506570122,55,55
1506571322,56,56
1506571922,80,80
1506572521,78,78
1506573721,80,80
1506574921,67,67
1506575522,69,69
1506576122,75,75
1506576722,79,79
1506577321,80,80
1506577921,80,80
1506578522,80,80
1506579722,80,80
1506580922,80,80
1506581521,19,19
1506582122,80,80
1506583322,73,73
1506584522,80,80
1506585121,78,78
1506585721,38,38
1506586321,78,78
1506586921,80,80
1506587522,69,69
1506588121,66,66
1506588721,80,80
1506589321,80,80
1506590522,73,73
1506591122,74,74
1506591721,76,76
1506592921,80,80
1506593521,78,78
1506594121,80,80
1506594722,79,79
1506595322,24,24
1506596523,76,76
1506597121,79,79
1506597722,80,80
1506598321,76,76
1506598921,73,73
1506600122,72,72
1506601321,79,79
1506601921,64,64
1506602522,28,28
1506603722,80,80
1506604922,64,64
1506606122,70,70
1506606721,13,13
1506607322,15,15
1506607922,73,73
1506608522,64,64
1506609121,73,73
1506609722,77,77
1506610321,80,80
1506610923,78,78
1506612122,79,79
1506612722,80,80
1506613321,80,80
1506613921,72,72
1506614522,66,66
1506615122,80,80
1506615721,75,75
1506616322,80,80
1506616922,80,80
1506617522,80,80
1506618121,80,80
1506618722,80,80
1506619322,80,80
1506620521,9,9
1506621721,10,10
1506622321,75,75
1506622922,78,78
1506623521,80,80
1506624122,78,78
1506625322,62,62
1506625922,80,80
1506626521,80,80
1506627721,67,67
1506628322,80,80
1506628921,80,80
1506630122,47,47
1506630721,78,78
1506631321,80,80
1506632521,61,61
1506633121,80,80
1506633722,80,80
1506634322,80,80
1506634922,80,80
1506635521,76,76
1506636121,80,80
1506637322,63,63
1506637922,80,80
1506638522,80,80
1506640321,80,80
1506640922,80,80
1506641521,80,80
1506642122,80,80
1506642721,80,80
1506643322,73,73
1506643921,69,69
1506644521,70,70
1506645123,80,80
1506645722,80,80
1506646321,80,80
1506646921,80,80
1506647521,80,80
1506648122,75,75
1506649322,77,77
1506650521,73,73
1506651721,51,51
1506652321,80,80
1506652921,80,80
1506654122,77,77
1506654721,56,56
1506655322,80,80
1506656521,80,80
1506657122,80,80
1506657721,51,51
1506658321,74,74
1506658922,79,79
1506659522,80,80
1506660122,80,80
1506661322,60,60
1506661922,80,80
1506662521,80,80
1506663121,75,75
1506663722,77,77
1506664321,77,77
1506664922,80,80
1506666122,73,73
1506666722,80,80
1506667322,79,79
1506667921,76,76
1506668522,77,77
1506669121,71,71
1506669721,76,76
1506670322,75,75
1506670921,80,80
1506671522,79,79
1506672121,80,80
1506672721,9,9
1506673321,74,74
1506673921,80,80
1506674522,77,77
1506675122,68,68
1506675721,72,72
1506676922,50,50
1506677521,75,75
1506678122,74,74
1506678722,67,67
1506679321,60,60
1506679921,80,80
1506680523,79,79
1506681121,80,80
1506681721,80,80
1506682922,72,72
1506683521,80,80
1506684121,73,73
1506685322,80,80
1506686522,68,68
