DateTime,AddedIPs,RemovedIPs
1504325889,2,2
1504333071,3,5
1504340272,5,5
1504347471,3,3
1504354672,4,7
1504361869,4,2
1504369075,3,2
1504376280,4,0
1504383467,4,6
1504390667,1,7
1504397887,3,1
1504405078,1,6
1504412294,3,2
1504419475,2,6
1504426671,4,4
1504433868,1,3
1504441079,2,5
1504448276,3,2
1504451009,0,1
1504455473,6,2
1504462676,4,4
1504469875,3,3
1504477068,1,3
1504484281,2,3
1504491474,0,5
1504498692,5,2
1504503168,0,1
1504505870,2,6
1504513050,3,1
1504520247,4,6
1504527454,5,2
1504534654,3,3
1504541865,4,4
1504546356,0,1008
1504549055,3,9
1504556245,4,3
1504563441,2,4
1504570647,4,3
1504577845,2,5
1504585058,4,2
1504592245,6,4
1504599443,3,5
1504606643,4,1
1504613847,3,8
1504621050,9,4
1504624648,0,1
1504628253,4,7
1504633644,1,0
1504634596,1347,0
1504635450,4,14
1504642660,1,1
1504647166,0,1086
1504649868,3,1
1504657059,3,3
1504664263,2,4
1504671491,4,2
1504678664,0,6
1504685871,5,4
1504693065,6,3
1504700265,1,1
1504707459,1,6
1504708362,1,0
1504711961,1,0
1504714668,8,3
1504719160,0,1
1504721859,4,2
1504726357,1,0
1504729062,5,3
1504736256,6,5
1504738061,0,1120
1504743461,4,0
1504744362,1,0
1504750652,0,4
1504757876,3,3
1504765059,6,3
1504772255,5,3
1504779465,1,5
1504786656,6,0
1504793856,1,4
1504801057,11,3
1504808250,4,2
1504814599,1419,0
1504815455,3,6
1504819074,0,1
1504822661,3,4
1504829873,3,0
1504837067,3,4
1504844292,3,4
1504851467,4,13
1504858669,1,5
1504865870,4,2
1504873071,2,3
1504876674,1,0
1504880271,3,6
1504887465,6,900
1504888365,0,1
1504891071,1,0
1504894672,7,8
1504898264,0,1
1504901870,5,7
1504909067,12,2
1504916266,4,4
1504923467,1,1
1504930686,3,5
1504937858,1,6
1504945066,4,3
1504952255,3,2
1504959466,6,4
1504966673,11,4
1504967569,0,1
1504969396,0,1
1504970269,1,2
1504971164,1,0
1504973863,2,3
1504981066,4,3
1504988259,6,3
1504989156,1,0
1504990993,0,1
1504995456,6,2
1505002654,8,2
1505008988,1,0
1505009855,2,6
1505017080,3,4
1505024267,3,3
1505031457,5,3
1505038660,4,4
1505045861,3,4
1505053056,4,2
1505060263,2,4
1505063855,0,1
1505067463,2,14
1505074659,5,1
1505081862,3,1
1505089054,2,5
1505096267,1,7
1505103480,3,2
1505110665,4,8
1505117854,7,2
1505125058,2,4
1505127791,0,3
1505132261,1,6
1505139456,4,2
1505146657,2,5
1505152992,0,1
1505153850,6,6
1505161047,6,5
1505168254,8,3
1505175462,5,3
1505181785,0,1
1505182659,0,4
1505185389,1,0
1505188984,0,1
1505189879,6,1
1505191649,0,1
1505194359,0,1
1505197054,3,5
1505204250,4,4
1505206051,0,1
1505211450,2,5
1505218652,1,7
1505225850,6,3
1505233050,5,2
1505240279,1167,2
1505244767,0,1
1505247467,7,5
1505254666,2,4
1505261863,4,0
1505269063,3,0
1505271797,1,0
1505272662,1,0
1505276289,2,4
1505283459,3,4
1505286196,0,1
1505290662,8,1
1505297861,5,1
1505305066,1,2
1505312267,5,1
1505319465,2,5
1505323062,1,1
1505326669,7,4
1505333863,4,6
1505339268,0,342
1505341064,6,3
1505348260,2,3
1505355457,2,6
1505360851,2,1
1505362673,3,4
1505367143,0,1
1505369839,2,3
1505377027,8,2
1505384219,0,4
1505391421,2,3
1505398621,4,3
1505399512,1,0
1505405812,3,5
1505413012,5,10
1505415733,0,3
1505420208,13,3
1505427406,4,3
1505434610,12,3
1505441808,2,2
1505442715,0,1
1505449035,3,5
1505456207,4,7
1505457111,0,1
1505460710,0,1
1505464311,5,3
1505470616,5,2
1505472411,0,1
1505476013,0,1
1505476934,0,1
1505477805,5,8
1505479603,0,2
1505485016,5,2
1505492210,3,3
1505496712,0,563
1505497612,1,0
1505499410,0,5
1505506603,2,9
1505513815,1,6
1505521011,4,4
1505528209,0,5
1505534533,1,0
1505535433,9,4
1505542603,2,5
1505547106,1,0
1505549806,3,4
1505557013,2,2
1505564208,3,3
1505571407,1,3
1505578607,2,6
1505582211,0,1
1505583111,0,8
1505585808,3,9
1505593011,4,5
1505600205,3,3
1505604707,0,1
1505605613,0,1
1505607416,6,2
1505614617,2,5
1505621833,6,6
1505625408,1,0
1505629013,1,2
1505634410,0,1
1505636208,2,2
1505643405,1,5
1505650602,1,1
1505657808,1,2
1505665005,5,6
1505672213,5,2
1505679413,4,4
1505686611,3,4
1505693811,2,3
1505701010,2,6
1505708231,5,6
1505709112,0,1
1505715411,4,7
1505719009,1,0
1505722612,4,4
1505729810,3,3
1505737015,4,1
1505739731,0,1
1505744210,0,3
1505751408,3,2
1505758608,4,3
1505765807,4,2
1505767601,0,1
1505770303,0,1
1505773013,5,5
1505780212,5,4
1505787410,5,2
1505794636,3,7
1505801809,4,5
1505805405,0,1
1505809006,3,3
1505816206,1,0
1505823406,3,2
1505830610,2,3
1505836013,0,1
1505837806,6,1
1505841418,1405,0
1505844139,0,1343
1505845019,1,3
1505852240,8,3
1505859446,6,2
1505866655,5,2
1505873848,0,2
1505881075,3,2
1505888249,1,0
1505895451,4,1
1505902645,4,5
1505909846,7,1
1505917046,3,7
1505924241,4,4
1505928744,0,2
1505931437,4,4
1505935041,5,1
1505938644,6,1
1505941375,0,1
1505945846,8,8
1505953045,6,1
1505956643,1,1
1505960238,2,3
1505963847,1,0
1505967467,4,2
1505974641,4,6
1505981847,5,5
1505989042,3,3
1505996244,5,1
1506003446,1,2
1506007046,2,0
1506010643,5,2
1506017843,4,9
1506024176,0,1417
1506025039,4,6
1506029543,0,1
1506032235,5,8
1506039446,8,1
1506046642,2,5
1506053865,4,4
1506059237,1,1
1506061040,2,5
1506068244,5,7
1506075440,1,8
1506079045,1,0
1506081773,0,1
1506082640,0,6
1506089836,1,1
1506090736,0,1
1506093433,1,0
1506097039,4,4
1506103369,0,1
1506104240,15,6
1506108734,0,1
1506111434,3,8
1506118635,6,4
1506121368,1,2
1506125837,3,1
1506133038,2,6
1506133942,0,1
1506140261,3,5
1506145646,1,0
1506147438,6,1
1506154633,4,3
1506161831,4,4
1506169043,2,1
1506174434,0,1
1506176244,2,3
1506183441,1,4
1506190640,10,9
1506193367,0,1
1506197836,4,3
1506205037,3,5
1506212249,1,1
1506219437,1,5
1506226667,2,3
1506233839,5,8
1506241038,2,6
1506248234,1,3
1506251834,1,0
1506255443,2,2
1506262636,3,0
1506267140,1,0
1506269834,1,3
1506277032,6,3
1506284239,3,5
1506291435,4,5
1506298634,5,0
1506305833,1,10
1506313060,6,5
1506313934,0,1
1506320233,4,3
1506327433,6,7
1506334632,1,5
1506341832,6,0
1506349936,4,2
1506356232,3,2
1506363429,3,2
1506370630,2,4
1506377832,4,2
1506385029,2,0
1506392235,0,2
1506399456,2,3
1506406625,5,5
1506413830,4,7
1506421029,5,2
1506428234,4,4
1506431833,0,1
1506436340,6,1
1506439032,1,0
1506442629,4,4
1506444445,1190,0
1506449841,4,1158
1506453443,2,0
1506457045,6,2
1506460643,2,0
1506464243,5,5
1506471448,6,3
1506478644,1,8
1506482247,0,1
1506484977,1,0
1506485871,4,2
1506489446,1,0
1506493045,2,6
1506496650,1,0
1506500247,6,1
1506507442,2,5
1506514646,6,3
1506518246,3,0
1506521847,2,4
1506522746,0,1
1506525445,2,0
1506529049,6,7
1506530843,0,1
1506533543,0,1
1506536244,4,4
1506537144,0,2
1506539847,2,0
1506543447,6,3
1506544346,0,1
1506547039,1,0
1506550642,6,5
1506554237,2,0
1506557844,3,1
1506561442,6,0
1506565047,2,5
1506572267,4,5
1506579446,3,4
1506583044,1,0
1506586652,6,2
1506590246,1,0
1506592975,1,0
1506593842,4,2
1506601047,1,3
1506604650,1,0
1506608251,3,5
1506611839,1,0
1506615440,5,5
1506616346,0,1
1506619046,2,0
1506620852,0,1
1506621776,1,0
1506622643,4,4
1506626250,0,1
1506629842,5,10
1506633445,1,0
1506637044,1,4
1506640644,1,0
1506644250,7,2
1506647844,1,0
1506651446,4,5
1506655042,1,1
1506658671,4,3
1506662248,0,1
1506664051,0,2
1506665843,4,3
1506673042,8,1
1506680246,2,3
1506684745,1,0
1506687451,4,4
1506688344,1,0
1506691039,1,0
1506694643,1,4
1506698242,1,0
1506701848,8,3
1506705442,1,0
1506707245,1,0
1506709048,3,4
1506716252,7,1
1506723449,6,4
1506727052,1,0
1506730640,3,2
1506734246,0,1
1506737843,2,5
1506745077,2,5
1506748646,1,0
1506752247,2,1
1506759456,6,6
1506763052,1,0
1506766642,1,2
1506770243,0,1
1506773857,1,4
1506780180,0,1
1506781051,4,2
1506782852,0,1
1506783779,0,1
1506784649,1,1
1506785542,0,2
1506786451,0,4
1506787383,0,1
1506788250,4,5
1506789152,0,2
1506790982,0,3
1506795447,6,5
1506799052,1,0
1506800853,0,2
1506802649,3,2
1506803547,0,1
1506805376,0,3
1506806243,0,1
