DateTime,Entries,UniqueIPs
1504649868,5644,5644
1504657059,5644,5644
1504664263,5642,5642
1504671491,5644,5644
1504678664,5638,5638
1504685871,5639,5639
1504693065,5642,5642
1504700265,5642,5642
1504707459,5637,5637
1504708362,5638,5638
1504711961,5639,5639
1504714668,5644,5644
1504719160,5643,5643
1504721859,5645,5645
1504726357,5646,5646
1504729062,5648,5648
1504736256,5649,5649
1504738061,4529,4529
1504743461,4533,4533
1504744362,4534,4534
1504750652,4530,4530
1504757876,4530,4530
1504765059,4533,4533
1504772255,4535,4535
1504779465,4531,4531
1504786656,4537,4537
1504793856,4534,4534
1504801057,4542,4542
1504808250,4544,4544
1504814599,5963,5963
1504815455,5960,5960
1504819074,5959,5959
1504822661,5958,5958
1504829873,5961,5961
1504837067,5960,5960
1504844292,5959,5959
1504851467,5950,5950
1504858669,5946,5946
1504865870,5948,5948
1504873071,5947,5947
1504876674,5948,5948
1504880271,5945,5945
1504887465,5051,5051
1504888365,5050,5050
1504891071,5051,5051
1504894672,5050,5050
1504898264,5049,5049
1504901870,5047,5047
1504909067,5057,5057
1504916266,5057,5057
1504923467,5057,5057
1504930686,5055,5055
1504937858,5050,5050
1504945066,5051,5051
1504952255,5052,5052
1504959466,5054,5054
1504966673,5061,5061
1504967569,5060,5060
1504969396,5059,5059
1504970269,5058,5058
1504971164,5059,5059
1504973863,5058,5058
1504981066,5059,5059
1504988259,5062,5062
1504989156,5063,5063
1504990993,5062,5062
1504995456,5066,5066
1505002654,5072,5072
1505008988,5073,5073
1505009855,5069,5069
1505017080,5068,5068
1505024267,5068,5068
1505031457,5070,5070
1505038660,5070,5070
1505045861,5069,5069
1505053056,5071,5071
1505060263,5069,5069
1505063855,5068,5068
1505067463,5056,5056
1505074659,5060,5060
1505081862,5062,5062
1505089054,5059,5059
1505096267,5053,5053
1505103480,5054,5054
1505110665,5050,5050
1505117854,5055,5055
1505125058,5053,5053
1505127791,5050,5050
1505132261,5045,5045
1505139456,5047,5047
1505146657,5044,5044
1505152992,5043,5043
1505153850,5043,5043
1505161047,5044,5044
1505168254,5049,5049
1505175462,5051,5051
1505181785,5050,5050
1505182659,5046,5046
1505185389,5047,5047
1505188984,5046,5046
1505189879,5051,5051
1505191649,5050,5050
1505194359,5049,5049
1505197054,5047,5047
1505204250,5047,5047
1505206051,5046,5046
1505211450,5043,5043
1505218652,5037,5037
1505225850,5040,5040
1505233050,5043,5043
1505240279,6208,6208
1505244767,6207,6207
1505247467,6209,6209
1505254666,6207,6207
1505261863,6211,6211
1505269063,6214,6214
1505271797,6215,6215
1505272662,6216,6216
1505276289,6214,6214
1505283459,6213,6213
1505286196,6212,6212
1505290662,6219,6219
1505297861,6223,6223
1505305066,6222,6222
1505312267,6226,6226
1505319465,6223,6223
1505323062,6223,6223
1505326669,6226,6226
1505333863,6224,6224
1505339268,5882,5882
1505341064,5885,5885
1505348260,5884,5884
1505355457,5880,5880
1505360851,5881,5881
1505362673,5880,5880
1505367143,5879,5879
1505369839,5878,5878
1505377027,5884,5884
1505384219,5880,5880
1505391421,5879,5879
1505398621,5880,5880
1505399512,5881,5881
1505405812,5879,5879
1505413012,5874,5874
1505415733,5871,5871
1505420208,5881,5881
1505427406,5882,5882
1505434610,5891,5891
1505441808,5891,5891
1505442715,5890,5890
1505449035,5888,5888
1505456207,5885,5885
1505457111,5884,5884
1505460710,5883,5883
1505464311,5885,5885
1505470616,5888,5888
1505472411,5887,5887
1505476013,5886,5886
1505476934,5885,5885
1505477805,5882,5882
1505479603,5880,5880
1505485016,5883,5883
1505492210,5883,5883
1505496712,5320,5320
1505497612,5321,5321
1505499410,5316,5316
1505506603,5309,5309
1505513815,5304,5304
1505521011,5304,5304
1505528209,5299,5299
1505534533,5300,5300
1505535433,5305,5305
1505542603,5302,5302
1505547106,5303,5303
1505549806,5302,5302
1505557013,5302,5302
1505564208,5302,5302
1505571407,5300,5300
1505578607,5296,5296
1505582211,5295,5295
1505583111,5287,5287
1505585808,5281,5281
1505593011,5280,5280
1505600205,5280,5280
1505604707,5279,5279
1505605613,5278,5278
1505607416,5282,5282
1505614617,5279,5279
1505621833,5279,5279
1505625408,5280,5280
1505629013,5279,5279
1505634410,5278,5278
1505636208,5278,5278
1505643405,5274,5274
1505650602,5274,5274
1505657808,5273,5273
1505665005,5272,5272
1505672213,5275,5275
1505679413,5275,5275
1505686611,5274,5274
1505693811,5273,5273
1505701010,5269,5269
1505708231,5268,5268
1505709112,5267,5267
1505715411,5264,5264
1505719009,5265,5265
1505722612,5265,5265
1505729810,5265,5265
1505737015,5268,5268
1505739731,5267,5267
1505744210,5264,5264
1505751408,5265,5265
1505758608,5266,5266
1505765807,5268,5268
1505767601,5267,5267
1505770303,5266,5266
1505773013,5266,5266
1505780212,5267,5267
1505787410,5270,5270
1505794636,5266,5266
1505801809,5265,5265
1505805405,5264,5264
1505809006,5264,5264
1505816206,5265,5265
1505823406,5266,5266
1505830610,5265,5265
1505836013,5264,5264
1505837806,5269,5269
1505841418,6674,6674
1505844139,5331,5331
1505845019,5329,5329
1505852240,5334,5334
1505859446,5338,5338
1505866655,5341,5341
1505873848,5339,5339
1505881075,5340,5340
1505888249,5341,5341
1505895451,5344,5344
1505902645,5343,5343
1505909846,5349,5349
1505917046,5345,5345
1505924241,5345,5345
1505928744,5343,5343
1505931437,5343,5343
1505935041,5347,5347
1505938644,5352,5352
1505941375,5351,5351
1505945846,5351,5351
1505953045,5356,5356
1505956643,5356,5356
1505960238,5355,5355
1505963847,5356,5356
1505967467,5358,5358
1505974641,5356,5356
1505981847,5356,5356
1505989042,5356,5356
1505996244,5360,5360
1506003446,5359,5359
1506007046,5361,5361
1506010643,5364,5364
1506017843,5359,5359
1506024176,3942,3942
1506025039,3940,3940
1506029543,3939,3939
1506032235,3936,3936
1506039446,3943,3943
1506046642,3940,3940
1506053865,3940,3940
1506059237,3940,3940
1506061040,3937,3937
1506068244,3935,3935
1506075440,3928,3928
1506079045,3929,3929
1506081773,3928,3928
1506082640,3922,3922
1506089836,3922,3922
1506090736,3921,3921
1506093433,3922,3922
1506097039,3922,3922
1506103369,3921,3921
1506104240,3930,3930
1506108734,3929,3929
1506111434,3924,3924
1506118635,3926,3926
1506121368,3925,3925
1506125837,3927,3927
1506133038,3923,3923
1506133942,3922,3922
1506140261,3920,3920
1506145646,3921,3921
1506147438,3926,3926
1506154633,3927,3927
1506161831,3927,3927
1506169043,3928,3928
1506174434,3927,3927
1506176244,3926,3926
1506183441,3923,3923
1506190640,3924,3924
1506193367,3923,3923
1506197836,3924,3924
1506205037,3922,3922
1506212249,3922,3922
1506219437,3918,3918
1506226667,3917,3917
1506233839,3914,3914
1506241038,3910,3910
1506248234,3908,3908
1506251834,3909,3909
1506255443,3909,3909
1506262636,3912,3912
1506267140,3913,3913
1506269834,3911,3911
1506277032,3914,3914
1506284239,3912,3912
1506291435,3911,3911
1506298634,3916,3916
1506305833,3907,3907
1506313060,3908,3908
1506313934,3907,3907
1506320233,3908,3908
1506327433,3907,3907
1506334632,3903,3903
1506341832,3909,3909
1506349936,3911,3911
1506356232,3912,3912
1506363429,3913,3913
1506370630,3911,3911
1506377832,3913,3913
1506385029,3915,3915
1506392235,3913,3913
1506399456,3912,3912
1506406625,3912,3912
1506413830,3909,3909
1506421029,3912,3912
1506428234,3912,3912
1506431833,3911,3911
1506436340,3916,3916
1506439032,3917,3917
1506442629,3917,3917
1506444445,5107,5107
1506449841,3953,3953
1506453443,3955,3955
1506457045,3959,3959
1506460643,3961,3961
1506464243,3961,3961
1506471448,3964,3964
1506478644,3957,3957
1506482247,3956,3956
1506484977,3957,3957
1506485871,3959,3959
1506489446,3960,3960
1506493045,3956,3956
1506496650,3957,3957
1506500247,3962,3962
1506507442,3959,3959
1506514646,3962,3962
1506518246,3965,3965
1506521847,3963,3963
1506522746,3962,3962
1506525445,3964,3964
1506529049,3963,3963
1506530843,3962,3962
1506533543,3961,3961
