DateTime,Entries,UniqueIPs
1504807359,870,909
1504810960,867,906
1504814560,867,906
1504818161,866,905
1504821760,868,907
1504825420,867,906
1504828960,869,908
1504832566,865,904
1504836160,867,906
1504839821,869,908
1504843360,868,907
1504846960,866,905
1504850561,868,907
1504854161,865,904
1504857760,859,898
1504861360,863,902
1504868561,861,900
1504872221,862,901
1504875761,861,900
1504879420,862,901
1504882961,860,899
1504886621,864,903
1504890161,866,905
1504893760,871,910
1504897360,872,911
1504900962,871,910
1504904621,879,930
1504908221,877,928
1504911820,875,929
1504915360,876,930
1504918964,875,929
1504922622,876,930
1504926221,874,928
1504929762,874,928
1504933361,873,927
1504936962,870,924
1504940562,869,923
1504944221,870,924
1504947761,872,926
1504951422,869,923
1504954962,872,926
1504958621,870,924
1504962162,874,928
1504965822,880,934
1504969422,876,930
1504972963,880,934
1504976561,876,930
1504980162,878,932
1504983822,875,928
1504987362,879,931
1504991022,878,930
1504994563,880,932
1504998222,881,933
1505001822,884,938
1505005362,886,940
1505008962,878,932
1505012563,876,930
1505016163,876,930
1505019762,878,932
1505023422,878,932
1505026963,877,931
1505030562,880,934
1505034162,880,934
1505041363,879,933
1505048622,877,931
1505055822,877,931
1505059423,876,930
1505063023,876,930
1505066563,874,928
1505070163,877,931
1505073763,874,928
1505077422,875,929
1505080964,875,929
1505084623,875,929
1505088224,872,926
1505095364,871,925
1505102626,872,926
1505106164,874,928
1505109824,873,927
1505113363,874,928
1505116963,875,929
1505120564,874,928
1505124164,868,922
1505131424,870,924
1505134963,867,921
1505138624,866,920
1505142224,866,920
1505145763,863,917
1505149363,865,919
1505153023,868,922
1505156564,868,922
1505160225,870,924
1505163764,870,929
1505167365,869,928
1505170964,874,930
1505174564,876,932
1505181764,877,932
1505185425,879,934
1505189025,882,937
1505192624,880,935
1505196165,880,935
1505199824,879,934
1505203364,880,935
1505206966,882,937
1505217765,881,936
1505221366,883,941
1505224965,884,942
1505228565,887,945
1505232225,880,932
1505235826,885,946
1505239425,887,948
1505243026,887,948
1505246625,891,952
1505250166,892,953
1505253766,889,950
1505257366,890,951
1505260966,888,949
1505264626,890,951
1505268166,888,949
1505275426,884,945
1505278965,885,946
1505282566,885,946
1505286166,887,948
1505289766,889,949
1505293366,888,948
1505297026,891,951
1505300626,891,952
1505304166,888,949
1505307826,891,952
1505311366,889,950
1505314966,889,950
1505322166,888,949
1505325826,890,951
1505329366,885,945
1505332967,887,947
1505336626,884,944
1505340227,886,947
1505343767,887,948
1505347367,886,947
1505354626,886,947
1505358166,887,948
1505361766,884,945
1505365367,881,942
1505368967,883,944
1505372567,882,943
1505376167,882,943
1505383368,879,940
1505386967,878,939
1505394167,876,937
1505397768,875,936
1505401367,874,935
1505405028,872,933
1505408568,873,934
1505412167,876,937
1505415828,876,937
1505419368,875,944
1505422967,869,938
1505426567,869,940
1505430227,867,938
1505433767,871,947
1505437367,869,947
1505444567,867,945
1505448167,868,946
1505451767,865,944
1505455367,868,947
1505458967,864,943
1505462567,867,946
1505466167,867,946
1505469767,869,948
1505473367,868,947
1505476968,870,949
1505480568,870,949
1505484168,872,951
1505487768,870,949
1505491428,873,952
1505494968,870,949
1505498629,868,947
1505505829,862,941
1505512968,856,935
1505516568,857,936
1505520169,856,935
