DateTime,AddedIPs,RemovedIPs
1504879420,2,0
1504882961,0,3
1504886621,6,5
1504890161,3,1
1504893760,6,4
1504897360,3,5
1504900962,2,2
1504904621,20,1
1504908221,1,1
1504911820,3,2
1504915360,1,0
1504922622,1,5
1504926221,2,4
1504929762,1,3
1504933361,0,1
1504940562,1,1
1504944221,3,5
1504947761,2,1
1504951422,0,1
1504954962,3,2
1504958621,1,2
1504962162,4,2
1504965822,7,4
1504969422,2,2
1504972963,4,1
1504976561,1,4
1504980162,4,1
1504983822,1,1
1504987362,5,5
1504991022,1,0
1504994563,4,2
1504998222,1,3
1505001822,6,2
1505005362,2,2
1505008962,1,0
1505012563,1,2
1505016163,1,2
1505019762,2,0
1505023422,1,1
1505026963,4,2
1505030562,3,2
1505034162,3,4
1505041363,3,6
1505048622,3,5
1505052163,1,1
1505055822,2,3
1505059423,3,2
1505063023,2,1
1505070163,3,0
1505073763,2,2
1505077422,1,3
1505080964,2,4
1505084623,2,3
1505088224,0,2
1505091764,0,1
1505095364,0,1
1505102626,2,0
1505106164,2,2
1505109824,2,2
1505113363,2,2
1505116963,4,2
1505120564,2,1
1505124164,0,1
1505127764,1,0
1505131424,2,1
1505134963,1,1
1505138624,0,2
1505142224,3,1
1505145763,2,0
1505149363,2,13
1505153023,3,1
1505156564,2,4
1505160225,6,0
1505163764,9,1
1505167365,2,5
1505170964,4,2
1505174564,2,1
1505178164,0,1
1505181764,1,1
1505185425,2,3
1505189025,3,2
1505192624,0,3
1505196165,3,2
1505199824,1,2
1505203364,1,2
1505206966,2,1
1505217765,1,4
1505221366,5,2
1505224965,3,2
1505228565,3,2
1505232225,2,0
1505235826,14,3
1505239425,2,2
1505243026,3,6
1505246625,5,4
1505250166,3,1
1505253766,1,4
1505257366,4,2
1505260966,2,0
1505264626,2,5
1505268166,2,0
1505271766,0,1
1505275426,1,3
1505278965,1,0
1505282566,2,4
1505286166,4,4
1505289766,3,4
1505293366,0,2
1505297026,4,4
1505300626,1,1
1505307826,4,4
1505311366,1,3
1505314966,2,0
1505318626,1,2
1505322166,3,3
1505325826,2,5
1505329366,2,2
1505332967,2,4
1505336626,2,10
1505340227,5,4
1505343767,3,2
1505347367,1,3
1505354626,9,2
1505358166,2,4
1505365367,1,2
1505368967,2,1
1505372567,6,4
1505376167,1,0
1505379767,0,2
1505386967,0,2
1505390627,0,2
1505394167,2,2
1505397768,2,2
1505401367,1,0
1505405028,3,12
1505408568,1,2
1505412167,13,1
1505415828,2,3
1505419368,11,7
1505422967,3,0
1505426567,2,4
1505430227,3,3
1505433767,10,3
1505437367,2,1
1505444567,2,4
1505448167,1,1
1505451767,1,2
1505455367,3,3
1505458967,0,1
1505462567,3,0
1505466167,2,1
1505469767,2,1
1505473367,2,4
1505476968,2,1
1505480568,3,1
1505484168,2,2
1505487768,2,2
1505491428,3,2
1505494968,3,1
1505498629,0,3
1505502228,0,1
1505505829,1,1
1505509428,0,1
1505512968,0,2
1505516568,1,2
1505520169,3,5
1505523830,0,2
1505527368,1,0
1505531028,2,4
1505534628,4,1
1505538228,0,2
1505541768,2,5
1505545368,4,4
1505548968,1,1
1505552629,1,0
1505556169,0,2
1505559829,1,2
1505566969,1,0
1505574229,1,3
1505577769,1,1
1505581369,1,2
1505584970,1,0
1505588569,3,2
1505592169,3,1
1505595769,0,1
1505599369,3,2
1505603029,3,3
1505606569,2,1
1505613769,0,2
1505617430,3,1
1505624629,1,2
1505628169,1,5
1505631769,1,2
1505635370,0,1
1505642630,0,2
1505653370,1,0
1505656970,0,2
1505660570,1,1
1505664170,2,0
1505667830,2,1
1505671370,3,4
1505674970,4,1
1505678570,3,2
1505682231,3,2
1505685771,1,1
1505689370,1,1
1505692970,1,2
1505696631,0,1
1505700230,1,0
1505703770,1,1
1505707370,3,2
1505711030,1,0
1505714571,2,2
1505718170,2,1
1505721771,2,1
1505728971,2,3
1505732570,6,5
1505736230,1,1
1505739771,1,1
1505743371,0,1
1505747031,2,3
1505750631,2,3
1505754171,2,1
1505757771,4,3
1505761371,0,1
1505764971,3,3
1505768571,3,1
1505772171,1,2
1505775772,4,5
1505779371,1,2
1505782971,3,0
1505786631,2,1
1505790171,2,2
1505793771,1,0
1505797371,2,1
1505800972,1,1
1505804572,1,5
1505808231,0,1
1505811831,1,2
1505815432,1,4
1505818972,1,1
1505822632,2,1
1505826172,2,0
1505833373,2,0
1505836972,2,1
1505840573,1,2
1505844172,1,1
1505847772,2,3
1505851373,6,5
1505854973,7,0
1505858573,0,5
1505862173,2,7
1505865772,2,1
1505869373,1,0
