DateTime,AddedIPs,RemovedIPs
1504620366,430,419
1504624228,217,212
1504628027,225,225
1504631883,223,221
1504635715,252,251
1504639572,258,255
1504643399,201,207
1504647248,219,220
1504655190,433,434
1504662852,377,380
1504666691,213,214
1504674354,418,425
1504678196,198,189
1504682056,256,435
1504685913,258,256
1504689765,231,183
1504693541,117,213
1504697386,128,203
1504709070,149,138
1504712768,235,146
1504716516,259,234
1504720187,242,260
1504724051,261,242
1504735579,249,257
1504739387,250,254
1504743182,295,162
1504747031,41,27
1504750885,30,21
1504754691,17,19
1504758534,24,26
1504762400,16,24
1504766272,209,234
1504773937,403,330
1504777998,363,364
1504781841,302,302
1504789504,428,439
1504793366,62,69
1504798170,8,14
1504802046,19,46
1504805822,37,59
1504809663,17,22
1504813734,38,44
1504817585,219,172
1504821424,410,367
1504825198,402,405
1504829121,409,410
1504832941,440,440
1504836786,396,395
1504840638,435,443
1504844477,365,359
1504848301,335,334
1504852147,39,47
1504855989,25,28
1504859892,18,42
1504863654,15,30
1504867504,16,28
1504871350,158,183
1504875187,345,254
1504879037,335,340
1504883114,381,383
1504886965,380,372
1504890906,392,398
1504894620,281,279
1504973819,126,129
1504977692,433,435
1504981490,390,389
1504985370,376,376
1504989174,160,171
1504993005,18,23
1504996839,13,19
1505000526,26,41
1505004287,14,23
1505008159,368,344
1505011992,378,363
1505015886,354,347
1505023488,423,435
1505027341,14,23
1505031177,30,39
1505034997,15,18
1505038870,5,39
1505042682,11,18
1505046530,19,50
1505050363,9,16
1505054214,10,46
1505058051,11,30
1505061883,249,141
1505065849,394,330
1505069585,382,385
1505073484,390,385
1505077297,369,375
1505081104,368,363
1505084940,352,352
1505088833,342,370
1505092657,321,408
1505096503,292,275
1505100391,239,232
1505104168,300,348
1505108010,270,206
1505111919,274,298
1505119509,150,345
1505123388,97,102
1505127221,89,82
1505131072,127,116
1505134943,265,162
1505138790,267,268
1505142901,205,266
1505146682,225,204
1505150516,326,226
1505154567,331,276
1505158410,305,336
1505162261,45,125
1505166129,53,125
1505169940,57,105
1505173772,80,92
1505177617,99,67
1505181504,220,132
1505185367,230,253
1505189143,251,207
1505193005,187,195
1505196820,171,271
1505200670,218,174
1505204542,223,215
1505208576,147,224
1505212469,127,149
1505216266,64,45
1505220102,11,1
1505223976,176,87
1505227797,274,202
1505231640,230,311
1505240168,420,226
1505244684,265,420
1505248439,201,186
1505252303,26,17
1505256102,11,10
1505259940,17,11
1505263771,72,177
1505267685,253,190
1505271501,248,193
1505275393,274,308
1505279184,215,132
1505283045,238,201
1505286835,200,206
1505290646,71,78
1505294496,56,64
1505298358,134,379
1505302216,139,54
1505306091,279,79
1505309939,289,275
1505313776,302,413
1505317517,228,322
1505321354,60,132
1505325214,68,95
1505329858,71,57
1505333599,32,29
1505337456,51,40
1505341313,231,117
1505345146,308,215
1505349272,308,367
1505353125,300,309
1505356918,288,300
1505360825,318,283
1505364570,349,317
1505368513,333,325
1505372266,321,312
1505376117,45,96
1505380037,27,27
1505383789,16,12
1505387638,17,25
1505391490,25,24
1505395326,20,28
1505399179,19,20
1505402996,12,23
1505406880,338,215
1505410656,362,335
1505414713,394,396
1505418603,368,364
1505422442,385,386
1505426273,356,447
1505430217,379,313
