DateTime,Entries,UniqueIPs
1504620366,437,437
1504624228,442,442
1504628027,442,442
1504631883,444,444
1504635715,445,445
1504639572,448,448
1504643399,442,442
1504647248,441,441
1504655190,440,440
1504662852,437,437
1504666691,436,436
1504674354,429,429
1504678196,438,438
1504682056,259,259
1504685913,261,261
1504689765,309,309
1504693541,213,213
1504697386,138,138
1504709070,149,149
1504712768,238,238
1504716516,263,263
1504720187,245,245
1504724051,264,264
1504735579,256,256
1504739387,252,252
1504743182,385,385
1504747031,399,399
1504750885,408,408
1504754691,406,406
1504758534,404,404
1504762400,396,396
1504766272,371,371
1504773937,444,444
1504777998,443,443
1504781841,443,443
1504789504,432,432
1504793366,425,425
1504798170,419,419
1504802046,392,392
1504805822,370,370
1504809663,365,365
1504813734,359,359
1504817585,406,406
1504821424,449,449
1504825198,446,446
1504829121,445,445
1504832941,445,445
1504836786,446,446
1504840638,438,438
1504844477,444,444
1504848301,445,445
1504852147,437,437
1504855989,434,434
1504859892,410,410
1504863654,395,395
1504867504,383,383
1504871350,358,358
1504875187,449,449
1504879037,444,444
1504883114,442,442
1504886965,450,450
1504890906,444,444
1504894620,446,446
1504973819,443,443
1504977692,441,441
1504981490,442,442
1504985370,442,442
1504989174,431,431
1504993005,426,426
1504996839,420,420
1505000526,405,405
1505004287,396,396
1505008159,420,420
1505011992,435,435
1505015886,442,442
1505023488,430,430
1505027341,421,421
1505031177,412,412
1505034997,409,409
1505038870,375,375
1505042682,368,368
1505046530,337,337
1505050363,330,330
1505054214,294,294
1505058051,275,275
1505061883,383,383
1505065849,447,447
1505069585,444,444
1505073484,449,449
1505077297,443,443
1505081104,448,448
1505084940,448,448
1505088833,420,420
1505092657,333,333
1505096503,350,350
1505100391,357,357
1505104168,309,309
1505108010,373,373
1505111919,349,349
1505119509,154,154
1505123388,149,149
1505127221,156,156
1505131072,167,167
1505134943,270,270
1505138790,269,269
1505142901,208,208
1505146682,229,229
1505150516,329,329
1505154567,384,384
1505158410,353,353
1505162261,273,273
1505166129,201,201
1505169940,153,153
1505173772,141,141
1505177617,173,173
1505181504,261,261
1505185367,238,238
1505189143,282,282
1505193005,274,274
1505196820,174,174
1505200670,218,218
1505204542,226,226
1505208576,149,149
1505212469,127,127
1505216266,146,146
1505220102,156,156
1505223976,245,245
1505227797,317,317
1505231640,236,236
1505240168,430,430
1505244684,275,275
1505248439,290,290
1505252303,299,299
1505256102,300,300
1505259940,306,306
1505263771,201,201
1505267685,264,264
1505271501,319,319
1505275393,285,285
1505279184,368,368
1505283045,405,405
1505286835,399,399
1505290646,392,392
1505294496,384,384
1505298358,139,139
1505302216,224,224
1505306091,424,424
1505309939,438,438
1505313776,327,327
1505317517,233,233
1505321354,161,161
1505325214,134,134
1505329858,148,148
1505333599,151,151
1505337456,162,162
1505341313,276,276
1505345146,369,369
1505349272,310,310
1505353125,301,301
1505356918,289,289
1505360825,324,324
1505364570,356,356
1505368513,364,364
1505372266,373,373
1505376117,322,322
1505380037,322,322
1505383789,326,326
1505387638,318,318
1505391490,319,319
1505395326,311,311
1505399179,310,310
1505402996,299,299
1505406880,422,422
1505410656,449,449
1505414713,447,447
1505418603,451,451
1505422442,450,450
1505426273,359,359
1505430217,425,425
1505433975,377,377
1505437830,346,346
1505441661,380,380
1505445491,351,351
1505449325,319,319
1505453211,301,301
1505457037,270,270
1505460858,141,141
1505464760,137,137
1505468503,135,135
1505472389,219,219
1505476286,242,242
1505483925,215,215
1505487952,215,215
1505492042,204,204
1505495884,135,135
1505500048,150,150
1505503795,169,169
1505507472,169,169
1505511294,289,289
1505515395,288,288
1505519187,307,307
1505523060,336,336
1505527064,332,332
1505534752,205,205
1505538568,167,167
1505542494,147,147
1505546311,295,295
1505550217,352,352
1505553994,294,294
1505557874,289,289
1505561620,178,178
1505565441,156,156
