DateTime,AddedIPs,RemovedIPs
1504629181,6,6
1504632781,2,1
1504639981,2,6
1504643581,1,0
1504650781,5,10
1504654381,1,0
1504657981,1,0
1504661581,0,2
1504665181,3,1
1504668781,3,0
1504672381,0,6
1504675981,2,0
1504679581,2,1
1504683181,0,4
1504686781,3,0
1504690381,3,1
1504693981,0,1
1504697581,5,0
1504701181,5,0
1504704781,0,4
1504708381,3,0
1504711981,3,3
1504715581,0,1
1504719181,5,0
1504722781,3,0
1504726381,0,2
1504729981,2,1
1504733581,3,0
1504737181,0,6
1504740781,4,0
1504744381,1,0
1504747981,1,0
1504751581,0,7
1504755181,2,0
1504758781,2,3
1504762381,0,4
1504765981,1,0
1504769582,0,2
1504773181,1,0
1504776782,5,1
1504780381,2,3
1504787581,3,2
1504794781,3,4
1504798381,5,1
1504801982,6,1
1504809181,2,2
1504812781,2,0
1504816381,0,6
1504819981,3,0
1504823581,2,0
1504827181,5,4
1504830781,0,4
1504834381,0,1
1504837982,2,0
1504841581,0,2
1504845181,3,3
1504848781,3,0
1504855982,5,0
1504859581,0,3
1504863181,7,7
1504866781,3,0
1504873981,0,3
1504877582,3,1
1504881181,3,1
1504888381,2,1
1504891981,5,9
1504899181,0,6
1504902781,3,0
1504906381,2,2
1504909981,0,3
1504913582,3,1
1504917181,6,1
1504920781,0,4
1504924382,2,0
1504927981,4,0
1504931581,0,2
1504935181,5,3
1504938781,1,0
1504942381,0,1
1504945981,0,4
1504949581,3,0
1504953181,0,4
1504956781,4,0
1504961427,5,5
1504963981,0,5
1504971181,4,2
1504974781,4,0
1504978381,0,4
1504981982,2,1
1504985581,3,0
1504989181,0,2
1504992781,2,2
1504996381,5,3
1505000427,3,2
1505007181,1,0
1505010781,0,8
1505014381,2,0
1505017981,5,2
1505025182,2,4
1505028781,3,7
1505035981,1,4
1505039581,1,0
1505043182,0,7
1505046781,9,0
1505053981,3,0
1505057581,0,2
1505061181,1,0
1505064781,1,0
1505068382,0,8
1505071981,1,0
1505075582,2,3
1505079181,0,5
1505086381,3,4
1505093581,4,1
1505097181,0,3
1505100781,3,3
1505104381,5,0
1505107981,0,4
1505111581,2,0
1505115181,1,1
1505122381,1,4
1505125981,1,4
1505129581,0,8
1505133181,4,0
1505140381,5,5
1505143981,4,1
1505151181,2,1
1505154781,7,0
1505158381,0,2
1505161981,1,2
1505165581,2,1
1505169181,0,1
1505172781,3,0
1505176381,2,0
1505183581,2,0
1505187181,0,2
1505190782,3,2
1505194382,1,0
1505197981,0,4
1505201581,0,1
1505205181,2,0
1505208782,0,8
1505212381,3,0
1505215981,2,0
1505219581,0,3
1505223181,2,6
1505230381,6,3
1505237581,1,2
1505241181,2,2
1505244781,0,4
1505248381,0,1
1505251981,2,0
1505259181,1,5
1505262781,2,1
1505269981,8,2
1505273581,0,4
1505277181,1,0
1505280781,1,0
1505287981,1,6
1505291581,3,0
1505298781,4,2
1505302381,3,1
1505305981,0,4
1505309582,1,0
1505316781,6,1
1505320381,0,2
1505323982,9,0
1505331181,1,0
1505334781,1,1
1505338381,0,2
1505341981,2,1
1505345581,0,2
1505349181,2,0
1505356381,5,1
1505359982,1,0
1505367181,2,2
1505370781,0,4
1505374381,4,3
1505377981,3,0
1505385181,5,3
1505388781,3,3
1505395982,2,2
1505399581,5,0
1505403182,0,6
1505406782,1,11
1505410381,3,0
1505413981,0,5
1505417581,6,0
