DateTime,AddedIPs,RemovedIPs
1504153981,12,13
1504161181,8,11
1504164781,8,9
1504171981,9,9
1504175581,11,8
1504182781,6,9
1504186381,19,16
1504193581,9,8
1504197181,11,13
1504204381,14,9
1504207981,11,15
1504215182,5,5
1504218782,9,9
1504225981,7,11
1504229581,7,6
1504236781,5,3
1504240381,16,17
1504247581,9,8
1504251181,6,7
1504258381,15,13
1504261981,9,9
1504269181,7,9
1504272781,11,10
1504279981,8,11
1504283581,9,11
1504290781,10,10
1504294381,16,10
1504297981,6,4
1504305181,9,9
1504308781,17,16
1504315981,5,9
1504319582,15,12
1504326781,9,10
1504333981,17,18
1504337581,11,9
1504344782,15,15
1504348381,10,15
1504355581,6,6
1504359181,15,19
1504366381,14,10
1504369981,10,11
1504373582,8,7
1504377182,5,6
1504384381,15,13
1504387982,11,10
1504395181,10,9
1504398782,12,12
1504405981,11,12
1504409581,8,8
1504416781,13,13
1504420381,11,12
1504427581,9,10
1504431181,5,6
1504438381,12,11
1504441981,8,6
1504449181,9,7
1504456381,15,15
1504459981,6,6
1504467181,11,11
1504470781,11,15
1504477981,5,5
1504481581,12,8
1504488781,7,6
1504492381,13,15
1504499581,6,6
1504503181,11,9
1504510381,6,8
1504513981,4,5
1504521181,14,11
1504524781,10,10
1504531981,6,4
1504539182,9,11
1504542782,13,16
1504546381,10,10
1504553581,7,6
1504557181,14,14
1504564381,11,13
1504567981,8,7
1504575182,5,4
1504578781,8,7
1504585981,9,9
1504589581,5,7
1504596782,6,6
1504600381,8,12
1504607581,5,6
1504611181,11,9
1504618381,9,11
1504621982,3,3
1504629181,11,11
1504632781,8,5
1504639981,14,14
1504643581,5,5
1504650781,17,17
1504654381,4,2
1504657981,7,4
1504665181,11,15
1504668781,10,14
1504675981,9,8
1504679581,10,9
1504686781,13,11
1504690381,7,8
1504697581,13,13
1504701181,10,11
1504708381,9,9
1504711981,8,6
1504719181,11,9
1504722781,5,4
1504729981,17,17
1504733581,4,3
1504740781,16,14
1504744381,9,11
1504747981,6,7
1504755181,10,9
1504758781,7,8
1504765981,9,10
1504773181,9,12
1504776782,10,12
1504780381,14,12
1504787581,10,11
1504794781,5,5
1504798381,7,7
1504801982,11,8
1504809181,10,14
1504812781,13,10
1504819981,8,6
1504823581,7,7
1504827181,11,10
1504834381,6,5
1504837982,13,12
1504845181,10,11
1504848781,12,13
1504855982,8,8
1504863181,17,16
1504866781,8,9
1504870381,3,4
1504877582,18,18
1504881181,13,13
1504888381,11,10
1504891981,11,14
1504899181,6,5
1504902781,9,6
1504906381,6,4
1504909981,7,11
1504913582,10,9
1504917181,11,14
1504924382,8,7
1504927981,16,16
1504935181,13,11
1504938781,7,6
1504945981,11,15
1504949581,14,16
1504956781,8,8
1504961427,10,9
1504971181,11,14
1504974781,7,4
1504981982,14,13
1504985581,11,8
1504992781,11,8
1504996381,12,13
1505000427,10,9
1505007181,6,6
1505014381,12,11
1505017981,15,16
1505025182,10,12
1505028781,12,12
1505035981,9,10
1505039581,8,9
1505046781,17,16
1505053981,13,16
1505061181,3,4
1505064781,11,9
1505071981,8,7
1505075582,4,5
1505079181,5,6
1505086381,9,9
1505089981,11,10
1505093581,9,5
1505100781,12,13
1505104381,12,12
1505111581,7,7
1505115181,9,7
1505122381,12,18
1505125981,12,11
1505133181,10,10
1505140381,14,15
1505143981,9,10
1505151181,7,6
1505154781,19,15
1505161981,9,9
1505165581,6,6
1505172781,12,14
1505176381,5,7
1505183581,8,9
1505190782,15,13
1505194382,6,6
1505201581,3,3
1505205181,12,10
1505212381,8,8
1505215981,7,8
1505223181,14,16
1505230381,10,12
1505237581,8,9
1505241181,11,9
1505248381,8,7
1505251981,14,14
1505259181,8,8
1505262781,5,6
1505269981,16,13
1505277181,3,3
1505280781,5,7
1505287981,15,15
1505291581,9,9
1505298781,8,8
1505302381,8,9
1505309582,10,9
1505316781,21,17
1505323982,14,16
1505327582,5,6
1505331181,7,9
1505334781,5,4
1505341981,7,8
1505345581,7,6
1505349181,17,18
1505356381,10,8
1505359982,6,5
1505367181,6,9
1505374381,11,8
1505377981,10,10
1505385181,16,18
1505388781,5,8
1505395982,7,8
1505399581,15,14
1505406782,6,6
1505410381,8,7
1505417581,18,12
1505421181,12,12
1505428381,9,8
1505431981,13,12
1505439181,11,10
1505442782,10,14
1505449981,23,20
1505453581,7,8
1505460781,7,6
1505464381,9,13
1505471581,9,8
1505478781,14,13
1505482381,10,12
1505489581,5,5
1505493181,9,8
1505500381,13,14
1505503981,6,5
1505511181,13,11
1505514782,11,12
1505521981,11,11
1505525582,11,9
1505532782,5,5
1505539981,9,12
1505543581,17,14
1505550781,8,7
1505554381,8,14
1505561581,15,17
1505565181,10,8
1505572381,11,14
1505575981,17,14
1505583182,9,8
1505586781,12,13
1505593981,4,4
1505597582,11,10
1505604781,13,11
1505608381,10,12
1505615582,12,15
1505619181,7,7
1505626381,4,5
1505629981,10,8
1505637181,11,11
1505640782,14,13
1505647981,6,8
1505651581,9,9
1505658781,11,9
1505662381,10,9
1505669582,10,11
1505673181,15,16
1505680381,7,7
1505683981,15,13
1505691181,12,11
1505694781,9,11
1505701981,12,14
1505705581,14,11
1505712781,13,11
1505716381,8,8
1505723582,6,9
1505727181,7,8
1505734382,12,14
1505737981,11,9
1505745182,6,4
1505752381,12,13
1505755981,10,11
1505763182,14,12
1505766781,14,19
1505773981,7,9
1505777582,5,2
1505784781,14,9
1505788381,4,6
1505795582,10,14
1505799181,12,8
1505806381,7,6
1505809981,8,8
1505817181,10,14
1505820782,12,13
1505827981,15,15
1505831581,12,14
1505838782,8,9
1505842381,13,7
1505845981,10,8
1505849581,2,2
1505853181,5,6
1505860382,15,15
1505863981,13,13
1505871181,10,9
1505874781,12,10
1505881981,5,8
1505885581,11,10
1505892782,16,14
1505896381,12,10
1505903582,10,11
1505907181,13,12
1505914382,5,6
1505917981,16,14
1505925181,14,17
1505928781,9,10
1505935981,17,16
1505939581,15,15
1505946781,8,7
1505950381,11,11
1505957581,13,16
1505961182,6,8
1505968381,6,5
1505971981,14,12
1505979181,10,9
1505982781,8,12
1505989981,14,11
1505993581,10,11
1505997181,5,6
1506004381,12,16
1506007981,6,6
1506015181,21,14
1506022381,11,8
1506025981,14,15
1506033181,11,13
1506036781,7,7
1506043982,11,8
1506047581,13,17
1506054781,17,23
1506058381,9,9
1506065582,12,12
1506069181,20,17
1506076381,7,10
1506079981,11,12
1506087181,8,6
1506090781,17,13
1506097981,9,10
1506101581,14,15
1506105181,10,10
1506112381,18,19
1506115981,6,4
1506123182,6,6
1506126781,5,3
1506133981,10,9
1506141181,6,8
1506144781,20,21
1506151981,13,12
1506155581,14,16
1506162781,7,7
1506166381,10,11
1506173581,9,12
1506177181,16,11
1506184381,12,14
1506187981,2,2
1506191581,10,9
1506195181,10,8
1506202381,10,8
1506205981,9,13
1506209581,12,11
1506213181,5,6
1506216781,8,5
1506223981,18,16
1506227581,11,10
1506234781,12,14
1506238381,15,11
1506245581,9,13
1506249181,19,19
1506256381,16,18
1506259982,11,11
1506267181,12,11
1506270781,15,14
1506277981,18,17
1506281581,12,18
1506285181,9,8
1506292381,11,9
1506295981,11,9
1506303181,8,9
1506306781,16,14
1506313981,10,11
1506317581,16,16
1506324781,6,4
